1:9,3,4,4,3,6,1,2,4,4,9,8,2,2,7,7,1,5,4,9,8,4,6,9,3,1,1,9,7,7
2:5,3,2,6,7,3,9,8,8,6,3,1,1,1,2,5,8,4,2,3,6,5,3,2,7,5,3,8,1,8
3:1,1,1,1,7,3,4,7,4,9,1,6,5,3,9,8,9,3,2,9,7,8,1,4,6,4,3,2,2,6
4:7,7,8,9,8,7,2,1,3,4,3,8,6,8,4,9,4,7,7,3,5,3,9,4,5,8,5,9,5,6
5:1,1,2,6,8,6,1,7,1,5,5,8,8,3,1,5,8,4,7,5,6,9,5,3,3,9,2,6,4,2
6:2,6,8,1,4,5,5,7,9,8,4,4,7,5,9,7,6,7,5,2,6,9,4,1,2,2,9,5,5,9
7:6,6,9,2,5,4,3,1,9,6,2,3,8,7,6,6,1,2,7,1,7,7,9,8,6,3,8,1,3,6
8:9,1,9,9,5,9,4,2,8,1,8,1,9,8,9,4,7,9,8,6,7,4,9,9,5,6,9,9,5,4
9:2,7,2,7,1,3,4,2,9,9,8,1,3,1,8,8,4,9,3,7,6,3,7,5,3,7,2,3,7,6
10:7,7,8,9,8,7,2,1,3,4,3,8,6,8,4,9,4,7,7,3,5,3,9,4,5,8,5,9,5,6
11:6,1,9,1,5,6,3,3,5,9,2,4,7,8,5,5,8,9,2,6,9,5,8,6,7,6,9,4,9,6
12:3,6,1,6,8,8,2,4,1,7,4,8,9,8,2,9,2,1,6,6,9,1,7,7,4,9,1,7,6,8
13:3,2,2,6,8,2,4,7,4,2,2,1,2,6,7,6,2,7,2,9,6,5,5,1,6,1,4,5,4,2
14:5,3,5,2,7,2,9,9,5,4,1,4,6,9,8,4,5,4,7,3,1,5,8,5,3,5,5,6,1,4
15:1,1,1,1,7,3,4,7,4,9,1,6,5,3,9,8,9,3,2,9,7,8,1,4,6,4,3,2,2,2
16:1,9,8,4,2,5,4,6,5,1,5,1,9,5,6,1,1,4,9,8,6,2,8,9,7,3,6,6,7,2
17:1,2,2,4,4,3,4,7,1,6,1,6,9,2,6,4,5,4,9,7,1,2,1,7,8,5,7,9,6,4
18:6,1,9,1,5,6,3,3,5,9,2,4,7,8,5,5,8,9,2,6,9,5,8,6,7,6,9,4,9,1
19:3,3,9,7,1,4,7,3,5,2,3,7,9,5,5,5,6,6,1,2,9,7,7,9,1,1,3,2,1,6
20:2,7,2,7,1,3,4,2,6,9,8,1,3,1,8,8,4,9,3,7,6,3,7,5,3,7,2,3,7,6
21:3,3,9,7,1,4,7,3,5,2,3,7,9,5,5,5,6,6,1,2,9,7,7,9,1,1,3,2,1,4
22:9,7,9,7,4,5,6,4,7,9,4,7,7,4,9,4,8,2,3,6,8,3,2,7,9,1,9,8,5,5
23:5,2,5,4,8,9,3,2,6,8,2,2,8,5,5,1,1,6,6,6,2,2,2,1,8,8,7,6,5,3
24:7,9,3,7,5,2,7,5,2,4,7,2,5,4,7,7,9,1,5,9,2,7,5,7,1,5,2,5,2,9
25:9,9,3,9,6,7,6,4,5,2,2,5,2,6,1,7,4,9,5,6,8,7,7,7,2,2,4,2,4,9
26:3,2,2,6,8,2,4,7,4,2,2,1,2,6,7,1,2,7,2,9,6,5,5,1,6,1,4,5,4,7
27:7,1,2,3,1,8,9,2,1,4,6,8,1,6,7,7,1,8,3,1,7,3,8,5,5,3,4,4,4,9
28:8,4,5,3,4,3,4,4,8,5,6,2,2,1,4,8,9,5,2,5,6,8,6,8,2,5,7,2,9,3
29:6,3,4,2,9,4,1,7,6,5,6,5,6,6,2,5,3,6,8,4,5,6,6,5,7,5,8,2,1,6
30:2,7,1,1,2,4,2,3,2,1,2,4,2,6,9,8,2,8,1,1,2,5,4,7,6,1,9,9,9,8
31:4,5,8,1,7,9,1,4,9,1,2,9,5,1,4,3,8,7,8,7,3,2,9,6,1,6,2,2,8,9
32:8,7,6,4,9,4,6,9,2,4,1,1,5,4,2,7,4,7,2,6,2,8,5,5,1,2,4,3,5,9
33:3,7,3,8,7,9,2,8,5,4,8,9,3,4,2,8,1,1,7,7,9,6,1,2,9,7,5,7,7,3
